Date,Region,Product Category,Product Name,Sales Amount,Cost,Profit,Quantity Sold,Customer Segment
2023-11-20,East,Software,CRM License,4800,600,4200,6,Consumer
2023-08-29,South,Peripherals,Mechanical Keyboard,5400,2700,2700,45,Enterprise
2023-08-11,North,Peripherals,Wireless Mouse,270,90,180,6,Consumer
2023-08-22,West,Software,Antivirus Pack,1260,210,1050,21,Consumer
2023-01-07,North,Software,Antivirus Pack,2400,400,2000,40,Enterprise
2023-02-05,North,Peripherals,Docking Station,7350,3920,3430,49,Enterprise
2023-11-13,West,Software,Data Analytics Tool,34500,6900,27600,23,Enterprise
2023-05-26,East,Hardware,MacBook Pro,40000,32000,8000,20,Consumer
2023-02-03,North,Peripherals,Wireless Mouse,1080,360,720,24,Consumer
2023-09-01,East,Hardware,ThinkPad T14,19200,14400,4800,16,Small Business
2023-12-23,North,Peripherals,Wireless Mouse,1305,435,870,29,Enterprise
2023-12-11,South,Peripherals,4K Monitor,17500,11000,6500,50,Corporate
2023-08-11,South,Hardware,ThinkPad T14,1200,900,300,1,Consumer
2023-02-21,West,Software,Data Analytics Tool,24000,4800,19200,16,Consumer
2023-03-18,South,Hardware,ThinkPad T14,48000,36000,12000,40,Enterprise
2023-01-30,East,Hardware,MacBook Pro,50000,40000,10000,25,Corporate
2023-10-22,East,Software,CRM License,26400,3300,23100,33,Small Business
2023-10-08,West,Hardware,Dell XPS 15,4500,3300,1200,3,Enterprise
2023-09-23,South,Peripherals,Wireless Mouse,1800,600,1200,40,Enterprise
2023-05-08,South,Hardware,ThinkPad T14,43200,32400,10800,36,Enterprise
2023-02-07,North,Peripherals,Mechanical Keyboard,3960,1980,1980,33,Enterprise
2023-03-01,North,Hardware,iPad Pro,9990,7500,2490,10,Small Business
2023-04-08,South,Software,CRM License,14400,1800,12600,18,Small Business
2023-04-22,West,Software,Cloud Storage,10750,2150,8600,43,Corporate
2023-06-11,North,Software,CRM License,20800,2600,18200,26,Corporate
2023-03-09,East,Peripherals,Wireless Mouse,1935,645,1290,43,Consumer
2023-08-21,South,Software,Data Analytics Tool,19500,3900,15600,13,Enterprise
2023-10-27,West,Hardware,iPad Pro,5994,4500,1494,6,Enterprise
2023-11-28,North,Software,Data Analytics Tool,51000,10200,40800,34,Corporate
2023-07-23,West,Software,Antivirus Pack,720,120,600,12,Corporate
2023-04-22,West,Software,CRM License,19200,2400,16800,24,Enterprise
2023-02-04,West,Peripherals,Mechanical Keyboard,5640,2820,2820,47,Enterprise
2023-10-20,West,Hardware,iPad Pro,41958,31500,10458,42,Small Business
2023-10-19,West,Hardware,Dell XPS 15,42000,30800,11200,28,Consumer
2023-06-15,East,Software,Cloud Storage,9000,1800,7200,36,Corporate
2023-03-20,East,Software,Cloud Storage,6500,1300,5200,26,Corporate
2023-01-16,North,Hardware,MacBook Pro,8000,6400,1600,4,Enterprise
2023-10-07,South,Hardware,Dell XPS 15,63000,46200,16800,42,Corporate
2023-10-07,East,Hardware,Dell XPS 15,58500,42900,15600,39,Enterprise
2023-01-24,North,Peripherals,Wireless Mouse,1350,450,900,30,Small Business
2023-04-04,East,Software,Antivirus Pack,1980,330,1650,33,Corporate
2023-01-26,East,Hardware,iPad Pro,31968,24000,7968,32,Corporate
2023-08-29,West,Software,CRM License,16800,2100,14700,21,Small Business
2023-03-28,North,Software,Cloud Storage,7750,1550,6200,31,Enterprise
2023-05-20,North,Software,CRM License,30400,3800,26600,38,Consumer
2023-02-11,South,Peripherals,4K Monitor,17500,11000,6500,50,Small Business
2023-01-17,South,Hardware,Dell XPS 15,51000,37400,13600,34,Corporate
2023-03-25,North,Software,CRM License,18400,2300,16100,23,Consumer
2023-01-17,West,Hardware,iPad Pro,41958,31500,10458,42,Consumer
2023-03-24,South,Peripherals,4K Monitor,3150,1980,1170,9,Corporate
2023-01-25,South,Software,Antivirus Pack,540,90,450,9,Small Business
2023-10-17,West,Software,Data Analytics Tool,27000,5400,21600,18,Consumer
2023-09-20,West,Peripherals,Wireless Mouse,1215,405,810,27,Consumer
2023-07-20,South,Software,Data Analytics Tool,9000,1800,7200,6,Consumer
2023-05-30,West,Peripherals,Mechanical Keyboard,6000,3000,3000,50,Enterprise
2023-02-12,West,Hardware,iPad Pro,20979,15750,5229,21,Corporate
2023-02-03,West,Software,CRM License,23200,2900,20300,29,Small Business
2023-07-08,West,Hardware,MacBook Pro,66000,52800,13200,33,Corporate
2023-07-28,North,Software,Data Analytics Tool,42000,8400,33600,28,Enterprise
2023-03-09,East,Hardware,Dell XPS 15,58500,42900,15600,39,Corporate
2023-05-25,South,Hardware,Dell XPS 15,39000,28600,10400,26,Consumer
2023-08-05,East,Software,CRM License,29600,3700,25900,37,Enterprise
2023-04-30,North,Hardware,ThinkPad T14,33600,25200,8400,28,Small Business
2023-07-05,East,Software,CRM License,23200,2900,20300,29,Consumer
2023-08-27,East,Hardware,MacBook Pro,8000,6400,1600,4,Consumer
2023-01-06,West,Hardware,MacBook Pro,62000,49600,12400,31,Corporate
2023-11-26,North,Software,CRM License,17600,2200,15400,22,Small Business
2023-11-04,North,Peripherals,Mechanical Keyboard,1560,780,780,13,Consumer
2023-04-11,West,Peripherals,Docking Station,4200,2240,1960,28,Small Business
2023-09-23,East,Hardware,Dell XPS 15,7500,5500,2000,5,Enterprise
2023-04-27,South,Peripherals,Mechanical Keyboard,240,120,120,2,Consumer
2023-04-23,East,Software,Data Analytics Tool,10500,2100,8400,7,Enterprise
2023-09-08,South,Peripherals,Wireless Mouse,495,165,330,11,Consumer
2023-07-25,East,Hardware,iPad Pro,20979,15750,5229,21,Consumer
2023-05-14,East,Peripherals,4K Monitor,12600,7920,4680,36,Enterprise
2023-09-04,North,Hardware,Dell XPS 15,69000,50600,18400,46,Small Business
2023-10-05,South,Hardware,iPad Pro,23976,18000,5976,24,Consumer
2023-02-09,East,Hardware,ThinkPad T14,25200,18900,6300,21,Consumer
2023-11-14,North,Software,Cloud Storage,7250,1450,5800,29,Enterprise
2023-12-26,North,Peripherals,Mechanical Keyboard,2760,1380,1380,23,Small Business
2023-05-30,North,Software,CRM License,14400,1800,12600,18,Enterprise
2023-11-03,South,Hardware,MacBook Pro,14000,11200,2800,7,Consumer
2023-11-25,South,Hardware,iPad Pro,47952,36000,11952,48,Small Business
2023-09-01,North,Peripherals,4K Monitor,10500,6600,3900,30,Corporate
2023-06-08,East,Software,Antivirus Pack,1020,170,850,17,Corporate
2023-01-15,North,Hardware,ThinkPad T14,6000,4500,1500,5,Consumer
2023-05-21,North,Hardware,Dell XPS 15,19500,14300,5200,13,Small Business
2023-12-15,West,Software,Antivirus Pack,840,140,700,14,Consumer
2023-04-17,South,Hardware,iPad Pro,999,750,249,1,Consumer
2023-12-14,West,Hardware,MacBook Pro,52000,41600,10400,26,Corporate
2023-10-21,North,Peripherals,Mechanical Keyboard,2640,1320,1320,22,Enterprise
2023-01-31,West,Peripherals,Mechanical Keyboard,4440,2220,2220,37,Consumer
2023-07-10,North,Peripherals,Wireless Mouse,810,270,540,18,Enterprise
2023-07-12,East,Peripherals,4K Monitor,5950,3740,2210,17,Corporate
2023-09-09,South,Software,Cloud Storage,5500,1100,4400,22,Small Business
2023-10-01,South,Software,Cloud Storage,750,150,600,3,Small Business
2023-06-28,East,Peripherals,Docking Station,3450,1840,1610,23,Small Business
2023-06-18,North,Peripherals,Mechanical Keyboard,2760,1380,1380,23,Enterprise
2023-08-24,South,Peripherals,Wireless Mouse,2115,705,1410,47,Small Business
2023-08-26,East,Peripherals,Mechanical Keyboard,960,480,480,8,Enterprise
2023-03-25,North,Software,Cloud Storage,10750,2150,8600,43,Consumer
2023-05-23,West,Software,Cloud Storage,10750,2150,8600,43,Corporate
2023-05-30,West,Software,CRM License,8800,1100,7700,11,Small Business
2023-06-01,North,Software,Cloud Storage,3750,750,3000,15,Corporate
2023-05-29,South,Hardware,Dell XPS 15,18000,13200,4800,12,Consumer
2023-05-19,North,Software,CRM License,2400,300,2100,3,Consumer
2023-08-24,South,Peripherals,4K Monitor,10500,6600,3900,30,Consumer
2023-09-16,West,Peripherals,Wireless Mouse,2115,705,1410,47,Enterprise
2023-07-04,South,Software,Data Analytics Tool,72000,14400,57600,48,Consumer
2023-02-22,West,Hardware,MacBook Pro,14000,11200,2800,7,Consumer
2023-09-07,South,Hardware,ThinkPad T14,9600,7200,2400,8,Small Business
2023-09-13,East,Hardware,ThinkPad T14,58800,44100,14700,49,Corporate
2023-09-20,North,Peripherals,Wireless Mouse,765,255,510,17,Corporate
2023-09-30,South,Hardware,iPad Pro,18981,14250,4731,19,Consumer
2023-12-21,West,Peripherals,Mechanical Keyboard,3240,1620,1620,27,Small Business
2023-09-24,East,Software,Cloud Storage,8500,1700,6800,34,Corporate
2023-02-18,North,Hardware,iPad Pro,48951,36750,12201,49,Consumer
2023-09-26,West,Peripherals,4K Monitor,4550,2860,1690,13,Corporate
2023-07-05,East,Software,CRM License,24000,3000,21000,30,Corporate
2023-05-04,West,Peripherals,Mechanical Keyboard,3120,1560,1560,26,Consumer
2023-05-13,North,Peripherals,4K Monitor,6650,4180,2470,19,Consumer
2023-12-24,South,Peripherals,Mechanical Keyboard,5040,2520,2520,42,Small Business
2023-11-13,South,Software,Cloud Storage,10000,2000,8000,40,Small Business
2023-06-25,South,Software,Data Analytics Tool,28500,5700,22800,19,Consumer
2023-11-02,East,Peripherals,Docking Station,6900,3680,3220,46,Small Business
2023-04-29,East,Hardware,MacBook Pro,36000,28800,7200,18,Enterprise
2023-04-03,South,Software,CRM License,34400,4300,30100,43,Consumer
